"조회기간 : 2020.01 ~ 2020.12, 여객 : 전체, 화물 : 전체, 운항 : 전체, 노선 : 전체, 공항 : 인천(ICN), 상대공항 : 전체, 출발/도착 : 출발",,,,
노선1,노선2,운항(편),여객(명),화물(톤)
전체 합계,,"74,966","5,891,032","1,551,720"
인천(ICN),나리타(NRT),"2,966","235,365","67,124"
인천(ICN),방콕(BKK),"2,042","221,315","28,253"
인천(ICN),간사이(KIX),"2,150","201,833","33,913"
인천(ICN),대북(TPE),"1,958","181,998","32,099"
인천(ICN),다낭(DAD),"1,202","179,136","2,175"
인천(ICN),마닐라(MNL),"1,426","173,953","20,818"
인천(ICN),홍콩(HKG),"3,862","167,730","119,159"
인천(ICN),하노이(HAN),"2,379","150,993","98,867"
인천(ICN),로스앤젤레스(LAX),"2,787","142,616","130,924"
인천(ICN),후쿠오카(FUK),"1,143","137,352","1,812"
인천(ICN),호치민(SGN),"1,389","134,072","28,962"
인천(ICN),청도(TAO),"1,497","126,738","8,394"
인천(ICN),세부(CEB),873,"114,017","2,075"
인천(ICN),푸동(PVG),"3,999","112,720","112,533"
인천(ICN),싱가폴(SIN),"1,434","107,941","39,954"
인천(ICN),뉴욕(JFK),"1,464","105,302","40,645"
인천(ICN),괌(GUM),775,"94,204","2,577"
인천(ICN),북경(PEK),"1,115","93,543","7,128"
인천(ICN),나트랑캄란(CXR),730,"87,682",939
인천(ICN),샌프란시스코(SFO),"1,075","85,479","15,423"
인천(ICN),쿠알라룸푸르(KUL),725,"83,581","14,793"
인천(ICN),아틀란타(ATL),966,"69,413","32,076"
인천(ICN),프랑크푸르트(FRA),"1,785","68,389","59,044"
인천(ICN),심양(SHE),390,"66,372","2,552"
인천(ICN),자카르타(CGK),632,"66,319","17,419"
인천(ICN),클라크 필드(CRK),535,"64,267","1,548"
인천(ICN),파리(CDG),455,"63,732","8,589"
인천(ICN),나고야(NGO),494,"62,674","20,174"
인천(ICN),시애틀(SEA),866,"61,673","6,839"
인천(ICN),뱅쿠버(YVR),448,"58,584","6,859"
인천(ICN),코타키나발루(BKI),401,"58,182",579
인천(ICN),광저우(CAN),993,"56,656","36,099"
인천(ICN),호놀룰루(HNL),396,"56,374","3,753"
인천(ICN),칼리보(KLO),450,"55,972",469
인천(ICN),두바이(DXB),386,"54,561","7,870"
인천(ICN),사이판(SPN),404,"51,010",716
인천(ICN),블라디보스토크(VVO),407,"50,529",776
인천(ICN),프롬펜(PNH),442,"50,433","2,178"
인천(ICN),런던히드로(LHR),604,"49,447","15,159"
인천(ICN),돈무앙(DMK),205,"48,895","1,168"
인천(ICN),이스탄불(IST),264,"46,776","4,386"
인천(ICN),시드니(SYD),262,"46,475","2,564"
인천(ICN),연길(YNJ),370,"43,280",965
인천(ICN),암스텔담(AMS),508,"42,040","18,144"
인천(ICN),카오슝(KHH),331,"41,663",615
인천(ICN),달라스(DFW),402,"41,219","27,153"
인천(ICN),마카오(MFM),299,"39,847",534
인천(ICN),덴파사(DPS),193,"39,478","1,670"
인천(ICN),연대(YNT),"1,157","39,047","11,532"
인천(ICN),도하(DOH),591,"38,378","28,708"
인천(ICN),김해(PUS),406,"37,873",779
인천(ICN),디트로이트(DTW),382,"37,601","5,954"
인천(ICN),웨이하이(WEH),585,"37,595","3,828"
인천(ICN),신치토세(CTS),295,"37,046",659
인천(ICN),토론토(YYZ),294,"36,869","4,796"
인천(ICN),대련(DLC),544,"35,618","2,867"
인천(ICN),푸켓(HKT),194,"35,614","1,236"
인천(ICN),부얀트 우카(ULN),182,"34,618","1,720"
인천(ICN),타쉬켄트(TAS),219,"34,339","2,837"
인천(ICN),장춘(CGQ),214,"34,198",989
인천(ICN),오클랜드(AKL),161,"34,133","1,875"
인천(ICN),센젠(SZX),524,"31,661","9,329"
인천(ICN),푸쿡(PQC),246,"30,790",286
인천(ICN),천진(TSN),823,"30,592","29,949"
인천(ICN),아부다비(AUH),328,"28,827","7,237"
인천(ICN),치앙마이(CNX),202,"28,412",433
인천(ICN),난징(NKG),167,"28,202",928
인천(ICN),시카고(ORD),"1,023","27,138","84,280"
인천(ICN),비엔티안(VTE),237,"26,563",430
인천(ICN),오키나와(OKA),272,"26,532","2,205"
인천(ICN),모스코바(SVO),464,"25,206","17,849"
인천(ICN),랑군(RGN),318,"24,833","2,373"
인천(ICN),워싱턴 둘리스(IAD),208,"24,724","3,070"
인천(ICN),로마(FCO),123,"24,596","1,174"
인천(ICN),하네다(HND),189,"24,234",313
인천(ICN),하얼빈(HRB),165,"21,670",561
인천(ICN),델리(DEL),233,"20,228","4,454"
인천(ICN),샤먼(XMN),255,"20,091","1,687"
인천(ICN),헬싱키(HEL),219,"19,954","4,377"
인천(ICN),항조우(HGH),193,"19,915",496
인천(ICN),바르샤바(WAW),147,"19,545","2,260"
인천(ICN),청두(CTU),319,"19,312","2,403"
인천(ICN),알마아타(ALA),122,"18,908",944
인천(ICN),멕시코(MEX),125,"16,673","1,797"
인천(ICN),뮌헨(MUC),119,"16,607","2,086"
인천(ICN),바로셀로나(BCN),80,"16,372",785
인천(ICN),씨엠립(REP),124,"16,098",156
인천(ICN),시안(XIY),470,"14,692","14,180"
인천(ICN),미네아폴리스(MSP),55,"14,444",916
인천(ICN),브리스번(BNE),71,"13,618",466
인천(ICN),보스톤(BOS),104,"13,450","1,352"
인천(ICN),파라구에(PRG),71,"13,328",867
인천(ICN),라스베가스(LAS),54,"13,188",727
인천(ICN),따이쭝(RMQ),101,"12,947",167
인천(ICN),번돈(VDO),63,"12,544",339
인천(ICN),지난(TNA),128,"12,013",256
인천(ICN),카투만두(KTM),64,"11,461",714
인천(ICN),하이퐁(HPH),72,"10,203",280
인천(ICN),정저우(CGO),314,"10,015","4,621"
인천(ICN),아디스아바바(ADD),136,"9,974",923
인천(ICN),조호바루(JHB),101,"9,010",112
인천(ICN),부다페스트(BUD),54,"8,832","2,728"
인천(ICN),우한(무한)(WUH),198,"8,428","1,253"
인천(ICN),타크빌라란(TAG),62,"7,993",78
인천(ICN),창사(CSX),79,"7,789",249
인천(ICN),골드코스트(OOL),29,"7,706",186
인천(ICN),하바로보스크(KHV),87,"6,940",110
인천(ICN),총킹(중경)(CKG),221,"6,926",432
인천(ICN),무단지앙(MDG),68,"6,821",121
인천(ICN),센다이(SDJ),65,"6,396",95
인천(ICN),텔아비브(TLV),35,"6,360",305
인천(ICN),푸에르토프린세사(PPS),55,"6,288",56
인천(ICN),콜롬보(CMB),11,"5,799",336
인천(ICN),마드리드(MAD),138,"5,678","7,334"
인천(ICN),"코로르,팔라우(ROR)",66,"5,490",91
인천(ICN),밀라노(MXP),407,"5,320","8,781"
인천(ICN),미와사키(KMI),54,"5,254",76
인천(ICN),비엔나(VIE),43,"4,742","33,093"
인천(ICN),대구(TAE),53,"4,644",100
인천(ICN),노보시비르스크(OVB),29,"4,422",81
인천(ICN),오까야마(OKJ),37,"4,277",58
인천(ICN),리스본(LIS),19,"4,214",112
인천(ICN),쿤밍(KMG),43,"4,167",82
인천(ICN),사할린(UUS),91,"4,127",466
인천(ICN),이루크츠크(IKT),28,"4,081",62
인천(ICN),카고시마(KOJ),43,"4,032",50
인천(ICN),베니스(VCE),18,"3,981",133
인천(ICN),카이로(CAI),18,"3,971",67
인천(ICN),우시샤우팡(WUX),114,"3,903",112
인천(ICN),시즈오카(FSZ),30,"3,762",30
인천(ICN),다가마스(TAK),26,"3,755",31
인천(ICN),뭄바이(BOM),35,"3,721",273
인천(ICN),원저우(WNZ),42,"3,687",58
인천(ICN),달랏(DLI),37,"3,652",45
인천(ICN),산야(SYX),26,"3,631",42
인천(ICN),마즈야마(MYJ),30,"3,625",28
인천(ICN),인천(ICN),29,"3,426",0
인천(ICN),염성(YNZ),223,"3,234","1,453"
인천(ICN),키타큐슈(KKJ),104,"3,078","3,278"
인천(ICN),껀터(VCA),22,"2,844",45
인천(ICN),반다르세리베가완(BWN),37,"2,836",78
인천(ICN),니이가타(KIJ),27,"2,738",48
인천(ICN),닝보(NGB),29,"2,699",39
인천(ICN),아스타나(TSE),19,"2,572",84
인천(ICN),하이커우(HAK),54,"2,512",48
인천(ICN),아오모리(AOJ),28,"2,489",34
인천(ICN),고마스(KMQ),28,"2,400",34
인천(ICN),말레(MLE),26,"2,301",36
인천(ICN),멜버른 툴라마린(MEL),11,"2,180",47
인천(ICN),화리엔(HUN),20,"2,135",22
인천(ICN),허폐(HFE),28,"2,005",42
인천(ICN),난퉁(NTG),37,"1,994",139
인천(ICN),계림(KWL),18,"1,992",23
인천(ICN),크리스트처칠(CHC),8,"1,955",28
인천(ICN),브로츠와프(WRO),9,"1,640",145
인천(ICN),자무쓰(JMU),13,"1,634",22
인천(ICN),장가계(대용)(DYG),23,"1,630",17
인천(ICN),쉬지아쭈앙(석가장)(SJW),14,"1,587",28
